"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.217125002E-3,-1.801335646E-1,2.601934952E-1,-1.691318237E0,1.720670258E0
1.215812500E-2,-2.084693179E-1,-7.778083205E-2,-2.122890115E0,2.134519092E0
2.210012500E-2,-3.795228875E-1,-3.212565529E-1,-2.296696846E0,2.349906338E0
3.204212501E-2,-5.686291507E-1,-4.408955553E-1,-2.072601721E0,2.193947560E0
4.198312500E-2,-6.937313528E-1,-6.158419088E-1,-1.587681602E0,1.838819544E0
5.192512501E-2,4.120386690E-3,-4.498064196E-1,-9.957100743E-1,1.092603013E0
6.186612500E-2,5.988301657E-1,-7.048233747E-3,1.102106595E-1,6.089282671E-1
7.180812501E-2,8.627454136E-1,4.125213566E-1,1.155582306E0,1.499957994E0
8.174912501E-2,1.054107679E0,5.733560398E-1,1.538890681E0,1.951426318E0
9.169112501E-2,1.239524934E0,2.910977840E-1,1.267657642E0,1.796695823E0
1.016321250E-1,1.635122109E0,-2.272599301E-1,2.865270156E-1,1.675520552E0
1.115741250E-1,1.952583235E0,-5.094912887E-1,-5.727061218E-1,2.097654634E0
1.215151250E-1,8.549630620E-1,-7.040296152E-1,-7.721277505E-1,1.350111403E0
1.314571250E-1,-1.502865985E-2,-7.062275836E-1,-1.314192123E0,1.492006769E0
1.413991250E-1,8.334665045E-2,-1.790838432E-1,-1.225268252E0,1.241088223E0
1.513401250E-1,5.375355582E-1,-3.814153388E-1,-1.736991423E-1,6.816109807E-1
1.612821250E-1,9.816048360E-1,-6.382522398E-1,1.142499745E0,1.635915537E0
1.712231250E-1,1.080342381E0,-6.579246122E-1,1.050743483E0,1.644404550E0
1.811651250E-1,7.669196355E-1,-2.140222724E-1,8.688442057E-1,1.178499688E0
1.911061250E-1,3.414759323E-1,5.749708946E-1,7.314252824E-1,9.910500924E-1
2.010481250E-1,2.196298984E-1,1.081727441E0,4.129011333E-1,1.178498576E0
2.109891250E-1,3.282378361E-1,8.724202166E-1,1.838516629E-1,9.500834413E-1
2.209311250E-1,6.846463877E-1,-7.606204301E-3,2.965333557E-1,7.461437942E-1
2.308721250E-1,7.323093814E-1,-6.199777906E-1,5.205676693E-1,1.091622732E0
2.408141250E-1,2.885510293E-1,-4.718185553E-1,5.998190761E-1,8.158782811E-1
2.507551250E-1,-1.849103013E-1,-1.265904647E-1,4.650401706E-1,5.162163553E-1
2.606971250E-1,-4.573151216E-1,-3.062844649E-2,4.479201078E-2,4.605231225E-1
2.706391250E-1,-3.420857969E-1,-2.342222098E-1,-3.240532762E-1,5.262064821E-1
2.805801250E-1,5.025708166E-1,-7.540928909E-1,-3.265909678E-1,9.632731565E-1
2.905221250E-1,1.236680263E0,-1.173788343E0,-2.420408142E-1,1.722132661E0
3.004631250E-1,1.276712641E0,-9.667540777E-1,-2.585170984E-1,1.622171293E0
3.104051250E-1,1.131742038E0,-3.430391854E-1,-4.727239966E-1,1.273571317E0
3.203461250E-1,1.613515186E0,2.533706716E-1,-2.265568609E0,2.792924824E0
3.302881250E-1,3.318097832E0,1.020366906E0,-8.914370869E0,9.566448130E0
3.402291250E-1,3.555729260E0,5.916826755E-1,-8.832426234E0,9.539656815E0
3.501711250E-1,3.547356048E0,-3.180717207E-1,-4.657770367E0,5.863423005E0
3.601121250E-1,3.010285489E0,-4.892108059E-1,-2.893016363E0,4.203651938E0
3.700541250E-1,2.441130966E0,-8.396005261E-1,-1.873090045E0,3.189438157E0
3.799961250E-1,1.577788406E0,-1.278159826E0,-4.539135039E-1,2.080660055E0
3.899371250E-1,1.083697806E0,-1.424282623E0,3.902735782E-1,1.831746541E0
3.998791250E-1,1.405266600E0,-9.430836716E-1,4.886301774E-1,1.761516528E0
4.098201250E-1,2.937550804E0,-6.664157926E-1,7.838724679E-1,3.112518399E0
4.197621250E-1,4.355938849E0,-4.988201201E-1,-4.862953842E-2,4.384676681E0
4.297031250E-1,4.605487780E0,1.861871870E-1,-2.058495898E0,5.048028202E0
4.396451250E-1,4.776907386E0,-1.683483553E-1,-3.839503407E0,6.130984566E0
4.495861250E-1,3.792480683E0,-1.838131882E0,-3.552030312E0,5.511674690E0
4.595281250E-1,3.343805115E0,-3.047296318E0,-3.207637496E0,5.545807949E0
4.694691250E-1,2.124377646E0,-3.158204258E0,-3.022138672E0,4.860098422E0
4.794111250E-1,1.131176612E0,-3.108028423E0,-2.739187229E0,4.294478768E0
4.893531250E-1,1.414343233E0,-1.961011850E0,-2.798576229E0,3.698373043E0
4.992941250E-1,3.506960558E0,-4.171614512E-1,-4.486611840E0,5.709858302E0
5.092361250E-1,5.103423509E0,-5.971001208E-1,-4.970861868E0,7.149190708E0
5.191771250E-1,4.830167334E0,-2.000429831E0,-3.055454938E0,6.055414177E0
5.291191250E-1,4.961472993E0,-1.680537726E0,-2.266236361E0,5.707560648E0
5.390601250E-1,5.044272491E0,-1.200209206E0,-2.049893475E0,5.575594171E0
5.490021250E-1,2.956353403E0,-2.976027530E0,-5.538237083E-1,4.231251116E0
5.589431250E-1,1.132687533E-1,-4.437368928E0,2.267840837E0,4.984593752E0
5.688851250E-1,-4.039315045E-1,-5.939611600E0,4.244545298E0,7.311519090E0
5.788261250E-1,-1.387529072E0,-5.447100041E0,1.272033699E0,5.763176686E0
5.887681250E-1,2.808979595E0,-2.344738885E0,-3.694103034E0,5.199477285E0
5.987101250E-1,3.969991626E0,-9.328453432E-1,-2.960611930E0,5.039469907E0
6.086511250E-1,1.361981417E0,-1.748779702E0,-1.404305903E0,2.623985308E0
6.185931250E-1,7.203611809E-1,-3.096713769E0,-1.590257885E0,3.554922860E0
6.285341250E-1,6.248533452E-1,-3.396487359E0,-1.521958314E0,3.773980020E0
6.384761250E-1,7.193420112E-2,-2.596877110E0,-1.028345139E0,2.794000533E0
6.484171250E-1,-3.387981999E-1,-1.572986088E0,-3.603861201E-1,1.648923166E0
6.583591250E-1,-6.312548769E-1,-1.540322664E0,-3.986333424E-1,1.711719945E0
6.683001250E-1,-1.293399425E0,-4.619785684E0,-7.225132486E0,8.672821991E0
6.782421250E-1,-1.792493779E0,-7.386727892E0,-4.400796348E0,8.783153841E0
6.881831250E-1,-3.692326065E0,-7.817168918E0,-1.649887206E0,8.801336800E0
6.981251250E-1,-5.347688019E-1,-6.031052113E0,-3.459935496E0,6.973573036E0
7.080661250E-1,8.316027045E-2,-4.566027553E0,-1.717831852E0,4.879187383E0
7.180081250E-1,-1.152017258E0,-5.837906885E0,6.665238199E-1,5.987700274E0
7.279501250E-1,-2.809781833E0,-7.079260243E0,2.250999978E0,7.942153388E0
7.378907083E-1,-4.142373390E0,-6.522980120E0,1.796971869E0,7.933324325E0
7.478327084E-1,-5.934033941E0,-5.388661798E0,6.656593090E-1,8.043229271E0
7.577737083E-1,-7.281590277E0,-5.369912117E0,8.432515275E-1,9.086725826E0
7.677157084E-1,-8.295566468E0,-6.012980708E0,2.053458814E0,1.044935659E1
7.776567083E-1,-8.439752959E0,-5.785649734E0,2.677564301E0,1.057698083E1
7.875987084E-1,-9.861487073E0,-5.947824014E0,2.557635861E0,1.179690803E1
7.975397084E-1,-1.097672301E1,-6.279277527E0,3.328632760E0,1.307660393E1
8.074817084E-1,-1.162412088E1,-5.828605719E0,5.063374175E0,1.395459024E1
8.174227084E-1,-1.215890839E1,-4.289711530E0,5.119038498E0,1.387246313E1
8.273647084E-1,-1.229902171E1,-3.452209570E0,5.408536484E0,1.387212863E1
8.373067083E-1,-1.104963194E1,-2.104389524E0,4.137427815E0,1.198503776E1
8.472477084E-1,-1.072681067E1,-2.250857014E0,2.925322230E0,1.134408809E1
8.571897083E-1,-8.671944723E0,-2.444775828E0,2.801218586E0,9.435379150E0
8.671307084E-1,-1.027341523E1,-3.422237912E0,4.334736260E0,1.166382061E1
8.770727083E-1,-9.852665963E0,-3.937903275E0,2.512350930E0,1.090385326E1
8.870137084E-1,-7.478430945E0,-3.659309762E0,2.875723808E0,8.808363341E0
8.969557083E-1,-5.229974797E0,-3.045045140E0,4.250179675E0,7.395198682E0
9.068967084E-1,-3.230011282E0,-3.335757592E0,5.829585128E0,7.452805804E0
9.168387083E-1,-1.284060836E0,-3.000485263E0,5.688134549E0,6.557941651E0
9.267807083E-1,-1.330711677E0,-2.417136040E0,5.809047368E0,6.431047467E0
9.367217083E-1,-2.616599184E0,-2.974372183E0,4.951285390E0,6.341033684E0
9.466637083E-1,-3.311910308E0,-2.967233317E0,3.451009429E0,5.628737827E0
9.566047083E-1,-3.568852167E0,-3.666303617E0,-2.421653599E-1,5.122219447E0
9.665467083E-1,-1.872055965E0,-3.491516892E0,-2.567620566E0,4.721012510E0
9.764877083E-1,-2.040413384E0,-1.064911872E0,4.554370836E0,5.102902878E0
9.864297083E-1,-3.541472287E0,-1.280048477E0,3.365642712E0,5.050554516E0
9.963707083E-1,-3.094310271E0,9.643508720E-1,5.647772389E0,6.511686541E0
1.006312708E0,-4.681010125E0,7.349809742E-1,1.209624612E0,4.890321516E0
1.016253708E0,-6.377517766E0,-3.080570483E-1,-6.652678379E0,9.220941472E0
1.026195708E0,-3.900645987E0,2.084638799E0,4.090455378E0,6.024332597E0
1.036136708E0,-8.293323476E0,3.294561034E0,5.011470780E0,1.023465613E1
1.046078708E0,-9.704289358E0,2.641750397E0,1.562269018E0,1.017805294E1
1.056020708E0,-4.881085473E0,4.111736904E0,3.302688372E0,7.186036894E0
1.065961708E0,-3.349796757E0,3.799217260E0,1.690123943E0,5.339635666E0
1.075903708E0,-1.819074637E-1,1.643413169E0,1.014116232E0,1.939672369E0
1.085844708E0,2.048305956E0,1.862455714E0,2.944895492E0,4.041869374E0
1.095786708E0,1.000487834E0,2.894484599E0,-3.386751160E-1,3.081187731E0
1.105727708E0,5.920875952E0,4.048336714E0,3.215983227E-1,7.179779082E0
1.115669708E0,5.918825333E0,4.438067086E0,2.295013433E0,7.745709744E0
1.125610708E0,4.072847657E0,3.974292253E0,1.264931963E0,5.829505967E0
1.135552708E0,-1.753943086E0,4.029031547E0,-9.835955206E-1,4.502984755E0
1.145493708E0,-4.105272222E0,4.912454615E0,-8.091631958E0,1.031794447E1
1.155435708E0,3.155173354E0,3.912628101E0,-6.645671661E0,8.332390376E0
1.165377708E0,7.726877968E0,3.095715356E0,-3.220820628E0,8.925344936E0
1.175318708E0,1.201784899E1,2.184485854E0,3.701255348E-1,1.222037911E1
1.185260708E0,1.352000454E1,1.286817214E0,3.480628792E0,1.402002846E1
1.195201708E0,1.146714652E1,1.605661498E0,1.792523892E-1,1.158040283E1
1.205143708E0,8.637109351E0,-4.177163154E-2,-1.464154494E0,8.760430994E0
1.215084708E0,6.968164315E0,-4.167988873E0,1.633141365E0,8.282185453E0
1.225026708E0,5.708003973E0,-6.155081497E0,3.204283533E0,8.985197301E0
1.234967708E0,6.946674628E0,-3.971536168E0,2.629579418E0,8.422830631E0
1.244909708E0,9.792178856E0,3.465719854E0,7.336852312E-1,1.041327397E1
1.254850708E0,9.770484517E0,7.307993964E0,6.398372738E-1,1.221795954E1
1.264792708E0,6.515512056E0,6.609757478E0,3.313321241E0,9.854891623E0
1.274734708E0,3.710788649E0,3.866376041E0,3.633061026E0,6.474407193E0
1.284675708E0,1.150280051E0,8.483070302E-1,3.626350762E0,3.897844130E0
1.294617708E0,-2.016974235E0,-1.331355456E0,2.917998008E0,3.788852701E0
1.304558708E0,-3.289209078E0,-6.299509478E-1,-8.878681219E-1,3.464685319E0
1.314500708E0,-3.150894361E0,2.253142691E-1,-2.953492945E0,4.324583491E0
1.324441708E0,-2.242406033E0,1.662824755E0,-1.873021633E0,3.361782418E0
1.334383708E0,-9.233232987E-1,2.725935684E0,-9.422027886E-1,3.028365461E0
1.344324708E0,-1.804986355E0,1.496066258E0,-1.385465004E0,2.723178890E0
1.354266708E0,-3.480341109E0,-2.451965564E-1,-1.190549825E0,3.686503014E0
1.364207708E0,-4.503801484E0,-7.221293789E-1,-5.975094259E-1,4.600295226E0
1.374149708E0,-4.360155861E0,3.858209234E-1,-6.878576785E-1,4.430910189E0
1.384091708E0,-3.120473637E0,1.091672823E0,-2.451690014E-1,3.314998207E0
1.394032708E0,-1.685230701E0,9.027153718E-1,7.288530191E-1,2.046002024E0
1.403974708E0,-2.580295576E0,6.869425893E-1,1.084021596E0,2.881825498E0
1.413915708E0,-1.928639471E0,1.208267473E0,4.429493167E-1,2.318569514E0
1.423857708E0,-9.561805576E-1,1.700494857E0,-5.274128585E-1,2.020922646E0
1.433798708E0,1.863899392E-1,2.701889595E0,-1.108058330E0,2.926216303E0
1.443740708E0,1.632727090E0,4.077989699E0,-2.076676792E0,4.858845977E0
1.453681708E0,1.723205443E0,4.509150517E0,-2.316107409E0,5.354085255E0
1.463623708E0,2.422476887E0,4.855072964E0,-1.987979062E0,5.778597452E0
1.473564708E0,3.266199407E0,5.438585325E0,-1.862058835E0,6.611620982E0
1.483506708E0,3.446494501E0,5.647337356E0,-1.850392324E0,6.869839541E0
1.493448708E0,3.606878072E0,5.652822044E0,-1.832446049E0,6.951390150E0
1.503389708E0,3.518106228E0,5.898962342E0,-1.869164810E0,7.118188339E0
1.513331708E0,2.921506045E0,6.295329303E0,-1.906431454E0,7.197280701E0
1.523272708E0,2.216445711E0,6.537019284E0,-2.094207183E0,7.213248675E0
1.533214708E0,1.831426295E0,6.305811022E0,-2.450930607E0,7.008882633E0
1.543155708E0,1.498450460E0,6.236169514E0,-2.264247723E0,6.801616112E0
1.553097708E0,1.027115762E0,6.093656496E0,-1.655120756E0,6.397424560E0
1.563038708E0,3.626668265E-1,5.654215436E0,-9.687829153E-1,5.748062261E0
1.572980708E0,-1.229613903E-1,5.327259017E0,-5.540330386E-1,5.357402425E0
1.582921708E0,4.184221474E-1,3.761240180E0,-1.637889889E-1,3.787985166E0
1.592863708E0,9.403859417E0,-1.227452655E1,-3.196214083E0,1.578962819E1
1.602805708E0,1.942040529E1,-3.450226545E1,-3.155211653E0,3.971792824E1
1.612746708E0,8.332836621E0,-5.078074777E1,-4.506307601E0,5.165682257E1
1.622688708E0,4.684495651E0,-3.744646717E1,-1.207515053E1,3.962312031E1
1.632629708E0,5.567148056E0,-1.638813632E1,-9.520148842E0,1.975341448E1
1.642571708E0,2.067080196E0,-2.844027806E0,-1.079080728E1,1.134913373E1
1.652512708E0,2.902528614E-1,5.517447892E0,-5.306469827E0,7.660620079E0
1.662454708E0,7.592833181E-1,6.840456448E0,-1.450062704E-1,6.883994653E0
1.672395708E0,1.049748872E0,6.349827692E0,9.373290174E0,1.137017384E1
1.682337708E0,1.903344855E0,3.079970559E0,2.039548581E1,2.071436172E1
1.692278708E0,2.266211071E0,8.374674618E-2,1.168911268E1,1.190706015E1
1.702220708E0,1.108648752E0,-6.675017667E-1,4.426485213E0,4.611771027E0
1.712162708E0,1.427956282E0,-1.423706380E0,1.643762101E0,2.601528944E0
1.722103708E0,1.963247679E0,-1.836140905E0,5.232464249E-1,2.738529111E0
1.732045708E0,2.437772033E0,-1.149626917E0,3.184627533E-2,2.695438502E0
1.741987208E0,1.537461036E0,5.798695457E-1,1.811898641E-1,1.653137894E0
1.751929208E0,1.221392864E0,9.888255626E-1,-1.053736965E-1,1.575017504E0
1.761870208E0,6.220624691E-1,1.450449205E0,-4.451089127E-1,1.639782472E0
1.771812208E0,3.798237267E-1,1.311657940E0,-5.624458663E-1,1.476840536E0
1.781753208E0,1.841595188E-1,6.903713965E-1,-7.540792961E-1,1.038827694E0
