"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.156250001E-3,2.037365815E-1,-3.556387657E-1,-2.338020873E-1,4.718590280E-1
1.509825001E-2,-3.175480295E-2,-2.464776814E-1,-4.890780741E-1,5.485954589E-1
2.504025001E-2,-1.048160549E-1,-1.895287246E-2,-6.574053794E-1,6.659785654E-1
3.498225000E-2,3.370612845E-2,2.953750223E-2,-5.279702443E-1,5.298689895E-1
4.492425000E-2,-4.662460126E-2,1.388123149E-1,-2.813750339E-1,3.171980799E-1
5.486625001E-2,-8.277804527E-2,1.942506436E-1,-9.165510535E-2,2.301872621E-1
6.480825001E-2,-1.003047453E-1,2.343906096E-1,8.374850035E-2,2.683538915E-1
7.475025000E-2,-1.110442532E-1,2.533215550E-1,1.687798798E-1,3.240204997E-1
8.469225001E-2,-1.393859633E-1,2.038222432E-1,1.025858903E-1,2.673870200E-1
9.463425001E-2,-1.184922172E-1,1.413888904E-1,-2.106225550E-2,1.856740221E-1
1.045762500E-1,-9.950206876E-2,9.635948271E-2,-1.508914930E-1,2.048268885E-1
1.145182500E-1,-3.291456163E-2,5.296057105E-2,-2.486130846E-1,2.563135897E-1
1.244602500E-1,5.622244030E-3,4.583339989E-3,-2.644678098E-1,2.645672675E-1
1.344022500E-1,3.778861787E-2,-3.457897156E-2,-1.936738157E-1,2.003328026E-1
1.443442500E-1,9.010281578E-2,-3.000498712E-2,-5.841368437E-2,1.114942832E-1
1.542862500E-1,1.265979930E-1,-4.521827281E-2,9.711640477E-2,1.658413100E-1
1.642282500E-1,1.295611061E-1,-7.047239721E-2,1.858549190E-1,2.372645989E-1
1.741702500E-1,1.465170813E-1,-8.996584475E-2,1.982966244E-1,2.624550620E-1
1.841122500E-1,1.370644725E-1,-1.004902482E-1,1.688746047E-1,2.395904667E-1
1.940542500E-1,9.207164638E-2,-1.021271762E-1,1.194048214E-1,1.821116678E-1
2.039962500E-1,3.843451593E-2,-9.318766057E-2,4.665259480E-2,1.110748248E-1
2.139382500E-1,6.129965074E-3,-6.348234326E-2,-4.181285441E-2,7.626204279E-2
2.238802500E-1,-2.293076981E-2,-2.123474836E-2,-1.020719200E-1,1.067492932E-1
2.338222500E-1,-3.478691317E-2,2.355609298E-2,-1.239615566E-1,1.308873040E-1
2.437642500E-1,-7.412588373E-2,8.460190147E-2,-1.006551397E-1,1.509423251E-1
2.537062500E-1,-9.557591926E-2,1.310100827E-1,-5.701619983E-2,1.718989388E-1
2.636482500E-1,-7.919541970E-2,1.558981714E-1,-1.477299035E-2,1.754833199E-1
2.735902500E-1,-5.084862985E-2,1.485961685E-1,-3.310985863E-2,1.605075300E-1
2.835322500E-1,1.999703899E-2,1.016868809E-1,-5.987081051E-2,1.196854931E-1
2.934742500E-1,6.997202173E-2,5.596165448E-2,-9.167732477E-2,1.281894008E-1
