"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.724375009E-3,-8.502640933E-2,-1.660012829E-1,-2.426912000E0,2.434068152E0
1.666637501E-2,-3.660459325E-2,-5.827744424E-2,-2.600096002E0,2.601006609E0
2.660837502E-2,-7.592463344E-3,1.184786224E-1,-2.290324550E0,2.293399524E0
3.654937501E-2,1.121203601E-1,2.264360574E-1,-1.548158517E0,1.568642425E0
4.649137502E-2,3.235073655E-1,2.103056359E-1,-7.132813722E-1,8.109597968E-1
5.643337502E-2,5.776891190E-1,2.202201748E-1,-1.996297896E-2,6.185629831E-1
6.637437502E-2,8.917923345E-1,1.758710906E-1,3.562357664E-1,9.762828123E-1
7.631637502E-2,9.234115186E-1,1.384722993E-1,5.963639563E-1,1.107932028E0
8.625837500E-2,9.613033763E-1,1.806675616E-1,9.500199312E-1,1.363555213E0
9.620037500E-2,9.703065535E-1,2.132190111E-1,1.391063713E0,1.709390362E0
1.061413750E-1,8.814220051E-1,8.278751045E-2,1.497186584E0,1.739346484E0
1.160833750E-1,6.918576857E-1,-1.296646383E-1,1.371753868E0,1.541813429E0
1.260253750E-1,2.693963548E-1,-2.640909567E-1,1.000208337E0,1.068987908E0
1.359663750E-1,-1.157121585E-1,-2.476053169E-1,4.753265923E-1,5.483001605E-1
1.459083750E-1,-3.633318011E-1,-5.344442815E-2,8.448115647E-2,3.768333457E-1
1.558503750E-1,-4.889267043E-1,1.434067646E-1,-1.337989122E-1,5.267987957E-1
1.657913750E-1,-4.055503792E-1,1.706474805E-1,-2.845062178E-1,5.239613160E-1
1.757333750E-1,-1.730132639E-1,6.206614763E-2,-3.225581431E-1,3.712540261E-1
1.856753750E-1,2.608731609E-2,-3.174570322E-2,-2.567120630E-1,2.599796550E-1
1.956163750E-1,7.232227352E-2,5.137363672E-3,-9.553180933E-2,1.199301061E-1
2.055583750E-1,2.979280628E-2,1.224386492E-1,5.984040499E-2,1.394980581E-1
2.155003750E-1,-1.794082906E-2,2.563892967E-1,2.120136076E-1,3.331773020E-1
2.254413750E-1,-4.467133887E-2,3.034570438E-1,2.832905817E-1,4.175347406E-1
2.353833750E-1,-1.864315275E-2,3.009652528E-1,2.275291944E-1,3.777528092E-1
2.453253750E-1,-2.139605843E-3,2.030477795E-1,1.647569954E-1,2.614915796E-1
2.552663750E-1,-6.276112575E-2,7.549866378E-2,1.657937068E-1,1.926825377E-1
2.652083750E-1,-1.060930502E-1,2.219456881E-2,2.275677860E-1,2.520623562E-1
2.751503750E-1,-5.485134132E-2,4.685110778E-2,2.177105498E-1,2.293503422E-1
2.850923750E-1,9.841514446E-2,1.372356132E-1,2.568272531E-2,1.708179047E-1
2.950333750E-1,-6.123496592E-3,2.068937856E-1,-1.229991049E-1,2.407723313E-1
3.049753750E-1,-5.307498644E-1,7.057823181E-2,-3.781996626E-1,6.555239814E-1
3.149173750E-1,-2.442518657E-1,1.050276875E-1,-9.454158336E-1,9.820900608E-1
3.248583750E-1,5.490637824E-2,1.647289288E-1,-1.314759888E0,1.326176419E0
3.348003750E-1,2.511981386E-1,2.535533971E-1,-1.459736922E0,1.502738072E0
3.447423750E-1,2.192507064E-1,4.023058324E-1,-1.152410191E0,1.240149227E0
3.546833750E-1,1.111003865E-1,4.093362321E-1,-1.026506190E0,1.110681955E0
3.646253750E-1,2.830197094E-1,3.231123130E-1,-1.039294050E0,1.124559401E0
3.745673750E-1,5.544567425E-1,3.771017016E-1,-7.112436175E-1,9.774944788E-1
3.845083750E-1,6.715163919E-1,4.400000542E-1,1.381814003E-1,8.146339127E-1
3.944503750E-1,8.143975648E-1,8.100849509E-2,4.789840257E-1,9.482781590E-1
4.043923750E-1,6.188665272E-1,-1.976807664E-1,7.187958813E-1,9.688864654E-1
4.143333750E-1,2.139245508E-1,-2.576758303E-1,7.828503746E-1,8.514782768E-1
4.242753750E-1,-5.023416057E-2,-2.966883069E-1,5.482887340E-1,6.254342157E-1
4.342173750E-1,-8.508941308E-2,-4.075867452E-1,4.832413834E-1,6.378788268E-1
4.441583750E-1,-7.551386654E-2,-5.266239229E-1,4.870812500E-1,7.213066229E-1
4.541003750E-1,-1.474587388E-1,-4.500346072E-1,5.736188722E-1,7.438506825E-1
4.640423750E-1,-2.071554485E-1,-3.049512997E-1,5.718688005E-1,6.803988537E-1
4.739843750E-1,-1.373810627E-1,-1.547817917E-1,2.906510568E-1,3.568038624E-1
4.839253750E-1,-8.769215494E-2,-5.931269377E-3,-2.065552318E-1,2.244775218E-1
4.938673750E-1,7.826337352E-2,-1.792873263E-2,-6.720304352E-1,6.768097967E-1
5.038093750E-1,4.128324285E-1,-1.787265784E-1,-6.780238312E-1,8.136892033E-1
5.137503750E-1,6.760705689E-1,-1.910564558E-1,-2.875789297E-1,7.591282001E-1
5.236919167E-1,6.211533733E-1,-1.130439278E-1,8.454898417E-2,6.369921298E-1
5.336339167E-1,4.495698997E-1,1.135564363E-1,3.769793487E-1,5.975965096E-1
5.435749167E-1,3.737461308E-1,3.357161325E-1,2.421501571E-1,5.576990142E-1
5.535169167E-1,2.217691022E-1,3.524985185E-1,-8.275973618E-2,4.246008881E-1
5.634589167E-1,1.376186058E-1,3.057957838E-1,9.176503301E-2,3.476647284E-1
5.733999167E-1,5.949077073E-1,7.761155516E-3,-8.966178954E-2,6.016765345E-1
5.833419167E-1,7.580368379E-1,-7.617723316E-2,-3.610234666E-1,8.430662856E-1
5.932839167E-1,5.421111506E-1,1.765844509E-1,-3.390192246E-1,6.633254123E-1
6.032249167E-1,3.975355276E-1,3.527191047E-1,-4.394819909E-1,6.896301059E-1
6.131669167E-1,5.376146418E-1,3.243893449E-1,-4.769743377E-1,7.885191621E-1
6.231089167E-1,7.933089969E-1,1.720853108E-1,-4.735496235E-1,9.397881488E-1
6.330499167E-1,7.114687353E-1,1.213244623E-1,-3.915979725E-1,8.211311458E-1
6.429919167E-1,5.458036673E-1,1.785374209E-1,-1.855274749E-1,6.034879434E-1
6.529339167E-1,4.726181620E-1,2.624815106E-2,6.157878220E-2,4.773351432E-1
6.628759167E-1,2.730518147E-1,-2.222278163E-1,-4.091466361E-1,5.397624160E-1
6.728169167E-1,-1.404708776E-1,-2.905582322E-1,-1.630886679E0,1.662512410E0
6.827589167E-1,-3.531420046E-1,-3.195034115E-1,-2.862835960E0,2.902175294E0
6.927009167E-1,-1.461882851E-1,-5.103002509E-1,-2.491498590E0,2.547418808E0
7.026419167E-1,-8.022584528E-2,-4.011634326E-1,-1.635719402E0,1.686103867E0
7.125839167E-1,2.823211133E-2,2.809338614E-2,-1.121408839E0,1.122115891E0
7.225259167E-1,6.605552745E-1,3.625536829E-1,-8.373978800E-1,1.126505061E0
7.324669167E-1,1.681604550E0,4.486246973E-1,-9.739017141E-1,1.994377730E0
7.424089167E-1,2.447559687E0,6.632328607E-2,-1.168432732E0,2.712965582E0
7.523509167E-1,2.732537191E0,-6.726863466E-1,-5.976468354E-1,2.876881673E0
