"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.912008335E-2,-2.254022697E-1,1.333399057E-2,-6.648336822E-1,7.021309019E-1
3.906208335E-2,-5.117994770E-2,8.941796064E-2,-4.448017877E-1,4.565781303E-1
4.900408335E-2,5.350947842E-2,7.615442902E-2,-2.138759458E-1,2.332502552E-1
5.894508335E-2,4.070846155E-2,7.381408095E-2,-4.031538248E-2,9.343996711E-2
6.888708335E-2,-5.476955339E-2,5.996495068E-2,7.568577468E-2,1.110127730E-1
7.882908333E-2,-2.234089538E-1,-5.839204967E-2,1.275020456E-1,2.637763518E-1
8.877108333E-2,-2.672833903E-1,-1.374159998E-1,1.116274399E-1,3.205998332E-1
9.871208333E-2,-2.313076651E-1,-7.049432427E-2,3.690879464E-2,2.446118248E-1
1.086540833E-1,-3.103652367E-1,4.011189938E-2,-5.750093400E-2,3.181853266E-1
1.185960833E-1,-3.947802465E-1,1.383480459E-1,-2.337623262E-1,4.792039754E-1
1.285370833E-1,-4.980700685E-1,1.776907441E-1,-3.942134321E-1,6.595847358E-1
1.384790833E-1,-6.378179379E-1,1.312185359E-1,-4.143652761E-1,7.718345730E-1
1.484210833E-1,-7.074434390E-1,7.688299209E-2,-2.735239774E-1,7.623664342E-1
1.583630833E-1,-6.304489844E-1,4.988844395E-2,-8.080208838E-2,6.375607863E-1
1.683040833E-1,-3.626714312E-1,-1.017555857E-1,-1.709603065E-1,4.136570955E-1
1.782460833E-1,-1.888302016E-1,-4.021714926E-3,7.223299384E-2,2.022143037E-1
1.881880834E-1,-3.493056464E-1,1.123972258E-1,2.586363816E-1,4.489324547E-1
1.981290834E-1,-5.476583310E-1,2.606548405E-1,1.435128915E-1,6.232708428E-1
2.080710834E-1,-5.373621882E-1,3.962260437E-1,-2.047858644E-1,6.983483725E-1
2.180130834E-1,-2.322151530E-1,4.858515805E-1,-5.627600080E-1,7.788931006E-1
2.279540834E-1,2.123101345E-1,5.662876332E-1,-6.840604967E-1,9.130695701E-1
2.378960833E-1,-2.264187350E-1,1.415751243E-1,-8.644108468E-1,9.047182277E-1
2.478380833E-1,6.942198877E-1,6.232547164E-2,-1.340319237E0,1.510722137E0
2.577800833E-1,1.549545769E0,2.956483796E-1,-6.663662374E-1,1.712467231E0
2.677210833E-1,1.882610482E0,4.926994009E-1,-1.186493611E-1,1.949628836E0
2.776627917E-1,1.606507882E0,4.529779494E-1,8.401513338E-2,1.671261542E0
2.876047917E-1,8.643528132E-1,5.341422728E-1,6.418634802E-1,1.201832967E0
