min_x,max_x,mean_x,peak_to_peak_x,min_y,max_y,mean_y,peak_to_peak_y,min_z,max_z,mean_z,peak_to_peak_z,label
-0.779485156,0.371549624,-0.073217362,1.15103478,-0.21327836,0.199131607,0.03409236,0.412409967,-0.779485156,0.371549624,-0.073217362,1.15103478,0
-12.93286222,9.338163026,-0.110691915,22.27102525,-49.06709258,14.13523921,-0.004409839,63.20233179,-12.93286222,9.338163026,-0.110691915,22.27102525,0
-26.49673023,12.10733127,-0.074585585,38.6040615,-70.49146849,12.06970561,0.09473609,82.5611741,-26.49673023,12.10733127,-0.074585585,38.6040615,0
-16.95754637,11.58797456,-0.352941955,28.54552093,-30.38139344,14.45345872,-0.303808078,44.83485216,-16.95754637,11.58797456,-0.352941955,28.54552093,0
-26.28534169,5.54586653,-0.509424434,31.83120822,-70.08777672,13.68797516,-0.136527371,83.77575188,-26.28534169,5.54586653,-0.509424434,31.83120822,0
-21.8982904,9.684164996,-0.279316157,31.5824554,-46.4859819,14.98387603,-0.158074245,61.46985793,-21.8982904,9.684164996,-0.279316157,31.5824554,0
-19.58409693,12.39403779,-0.666346075,31.97813472,-58.78768631,13.50001758,0.355753147,72.28770389,-19.58409693,12.39403779,-0.666346075,31.97813472,0
-14.79503201,7.836861171,-0.646599012,22.63189318,-29.70780122,16.40767538,0.042763178,46.1154766,-14.79503201,7.836861171,-0.646599012,22.63189318,0
-19.44503961,13.71363976,-0.283522418,33.15867937,-38.08661332,10.57135659,-0.068238813,48.65796991,-19.44503961,13.71363976,-0.283522418,33.15867937,0
-25.64357937,7.421177348,-0.448440676,33.06475672,-35.84426927,14.10076637,0.031355322,49.94503564,-25.64357937,7.421177348,-0.448440676,33.06475672,0
-22.67142328,15.05677911,-0.298501144,37.72820239,-31.45548018,11.75366711,0.071110043,43.20914729,-22.67142328,15.05677911,-0.298501144,37.72820239,0
-32.43548288,7.734018588,-0.549145635,40.16950147,-42.22664549,15.54143727,-0.000863826,57.76808276,-32.43548288,7.734018588,-0.549145635,40.16950147,0
-30.80314609,10.56031939,-0.345199015,41.36346548,-42.92900836,12.08415291,-0.147468908,55.01316127,-30.80314609,10.56031939,-0.345199015,41.36346548,0
-25.38419221,7.372479397,-0.628474981,32.75667161,-29.78631529,14.22197915,0.149411516,44.00829444,-25.38419221,7.372479397,-0.628474981,32.75667161,0
-21.17885366,11.66153019,-0.252295614,32.84038385,-45.51139606,9.902740349,-0.059712345,55.41413641,-21.17885366,11.66153019,-0.252295614,32.84038385,0
-39.91639655,9.369492992,-0.760153534,49.28588954,-39.47821089,16.34192344,0.125616039,55.82013433,-39.91639655,9.369492992,-0.760153534,49.28588954,0
-25.41787217,18.76865826,-0.250948921,44.18653043,-39.54806874,9.629035692,-0.085376956,49.17710443,-25.41787217,18.76865826,-0.250948921,44.18653043,0
-46.22674443,8.148695521,-0.631981734,54.37543995,-48.89648018,13.34800518,0.110398015,62.24448536,-46.22674443,8.148695521,-0.631981734,54.37543995,0
