min_x,max_x,mean_x,peak_to_peak_x,min_y,max_y,mean_y,peak_to_peak_y,min_z,max_z,mean_z,peak_to_peak_z,label
-0.154873301,0.187815783,0.006968965,0.342689083,-0.081178941,0.089696873,0.010795537,0.170875814,-0.154873301,0.187815783,0.006968965,0.342689083,0
-0.128162196,0.140406704,0.006511114,0.268568901,-0.076485966,0.09045438,0.010297435,0.166940346,-0.128162196,0.140406704,0.006511114,0.268568901,0
-0.087714776,0.123658013,0.005976779,0.211372789,-0.053602303,0.066045763,0.009861233,0.119648066,-0.087714776,0.123658013,0.005976779,0.211372789,0
-0.090286382,0.097337064,0.005189333,0.187623446,-0.042937566,0.080476398,0.009032235,0.123413965,-0.090286382,0.097337064,0.005189333,0.187623446,0
-0.102417198,0.109265165,0.005934996,0.211682363,-0.05098772,0.064319372,0.009219638,0.115307093,-0.102417198,0.109265165,0.005934996,0.211682363,0
-0.078015378,0.091617902,0.00561502,0.169633281,-0.076446205,0.07793169,0.009614863,0.154377895,-0.078015378,0.091617902,0.00561502,0.169633281,0
-0.065028859,0.067503985,0.006628118,0.132532844,-0.031599523,0.050251264,0.010278285,0.081850787,-0.065028859,0.067503985,0.006628118,0.132532844,0
-0.093693518,0.083899505,0.008077021,0.177593023,-0.080005405,0.111940558,0.009229443,0.191945964,-0.093693518,0.083899505,0.008077021,0.177593023,0
-0.080433348,0.084612573,0.006097031,0.165045921,-0.049012823,0.098696322,0.009249107,0.147709146,-0.080433348,0.084612573,0.006097031,0.165045921,0
-0.058132799,0.07141241,0.00694487,0.129545209,-0.036681923,0.067619833,0.008062923,0.104301756,-0.058132799,0.07141241,0.00694487,0.129545209,0
-0.087454173,0.088984828,0.006690519,0.176439001,-0.047795141,0.075544272,0.008954542,0.123339413,-0.087454173,0.088984828,0.006690519,0.176439001,0
-0.082499097,0.074356922,0.005272891,0.156856018,-0.034342744,0.078252702,0.008739525,0.112595446,-0.082499097,0.074356922,0.005272891,0.156856018,0
-0.112559486,0.097521471,0.005711924,0.210080957,-0.068492822,0.090497649,0.009127844,0.158990471,-0.112559486,0.097521471,0.005711924,0.210080957,0
-0.093660043,0.134568406,0.005958433,0.228228448,-0.058144128,0.089106889,0.008718388,0.147251017,-0.093660043,0.134568406,0.005958433,0.228228448,0
-0.118804166,0.142156045,0.006698547,0.260960211,-0.10005697,0.089929007,0.008679393,0.189985977,-0.118804166,0.142156045,0.006698547,0.260960211,0
-0.118711634,0.144021746,0.007486395,0.26273338,-0.077095538,0.08356636,0.010142009,0.160661898,-0.118711634,0.144021746,0.007486395,0.26273338,0
-0.112607068,0.099072518,0.006755869,0.211679585,-0.050928956,0.092413782,0.010951028,0.143342738,-0.112607068,0.099072518,0.006755869,0.211679585,0
-0.082460578,0.097477617,0.005744065,0.179938195,-0.086094403,0.081452883,0.009976438,0.167547287,-0.082460578,0.097477617,0.005744065,0.179938195,0
-0.070430297,0.09338135,0.005231118,0.163811647,-0.052199556,0.07551679,0.008526118,0.127716346,-0.070430297,0.09338135,0.005231118,0.163811647,0
-0.074422995,0.082304238,0.005244398,0.156727233,-0.046556993,0.059834265,0.007230876,0.106391258,-0.074422995,0.082304238,0.005244398,0.156727233,0
-0.080594512,0.084001539,0.004355023,0.164596051,-0.048626615,0.076882992,0.008135105,0.125509607,-0.080594512,0.084001539,0.004355023,0.164596051,0
-0.069705462,0.082153014,0.004557821,0.151858476,-0.057423166,0.06185711,0.005587956,0.119280276,-0.069705462,0.082153014,0.004557821,0.151858476,0
-0.071876168,0.094177229,0.004748325,0.166053396,-0.058378016,0.074274842,0.005388641,0.132652858,-0.071876168,0.094177229,0.004748325,0.166053396,0
-0.09108544,0.091318306,0.005189935,0.182403746,-0.097213469,0.112780511,0.005154987,0.209993979,-0.09108544,0.091318306,0.005189935,0.182403746,0
-0.057542888,0.076057511,0.006351583,0.133600399,-0.053318713,0.073320576,0.005834582,0.126639289,-0.057542888,0.076057511,0.006351583,0.133600399,0
