min_x,max_x,mean_x,peak_to_peak_x,min_y,max_y,mean_y,peak_to_peak_y,min_z,max_z,mean_z,peak_to_peak_z,label
-4.482368515,12.99863755,0.39963366,17.48100607,-53.08973371,8.450596036,0.18388601,61.54032975,-4.482368515,12.99863755,0.39963366,17.48100607,3
-21.94482254,28.15349669,0.229949966,50.09831923,-68.61510166,14.18310335,0.226057325,82.79820501,-21.94482254,28.15349669,0.229949966,50.09831923,3
-19.04944156,24.6770814,0.234117797,43.72652296,-69.21391268,11.97077539,0.029773938,81.18468807,-19.04944156,24.6770814,0.234117797,43.72652296,3
-24.31818398,31.09488707,0.180470028,55.41307105,-69.8448787,11.95805887,0.288276889,81.80293757,-24.31818398,31.09488707,0.180470028,55.41307105,3
-22.3033855,28.50038627,0.280416055,50.80377177,-68.93668917,12.90362381,0.005728145,81.84031298,-22.3033855,28.50038627,0.280416055,50.80377177,3
-27.91519926,27.82420957,0.222980257,55.73940883,-66.96495192,12.5893383,-0.239252839,79.55429022,-27.91519926,27.82420957,0.222980257,55.73940883,3
-22.96284149,27.72622193,0.188152028,50.68906342,-68.00648603,12.78489609,0.475001045,80.79138212,-22.96284149,27.72622193,0.188152028,50.68906342,3
-18.39982175,32.2736109,0.119027526,50.67343265,-63.34486118,13.91582595,0.160705058,77.26068713,-18.39982175,32.2736109,0.119027526,50.67343265,3
-16.54676543,25.20363954,0.129668885,41.75040497,-41.74541496,12.66577428,0.123486189,54.41118924,-16.54676543,25.20363954,0.129668885,41.75040497,3
-16.73276536,35.6391162,0.278303978,52.37188156,-51.59974621,13.52325559,-0.852707621,65.1230018,-16.73276536,35.6391162,0.278303978,52.37188156,3
-15.36660202,26.42445631,0.34636578,41.79105833,-42.1549633,13.67424941,1.215697102,55.82921271,-15.36660202,26.42445631,0.34636578,41.79105833,3
-22.51862852,44.39860544,0.588790286,66.91723396,-70.5266313,12.48232256,-0.2497019,83.00895386,-22.51862852,44.39860544,0.588790286,66.91723396,3
-8.205231664,37.5564112,0.25814893,45.76164286,-61.52126431,12.29807563,-0.052009302,73.81933994,-8.205231664,37.5564112,0.25814893,45.76164286,3
-8.835583731,30.90570859,0.284328668,39.74129232,-69.31362875,11.87348825,0.135302225,81.187117,-8.835583731,30.90570859,0.284328668,39.74129232,3
-22.46548201,32.90802444,0.141631857,55.37350645,-49.23943575,11.74084767,0.09346346,60.98028342,-22.46548201,32.90802444,0.141631857,55.37350645,3
-19.46514936,44.93505707,0.251308274,64.40020643,-69.12432866,12.23841649,0.182272193,81.36274515,-19.46514936,44.93505707,0.251308274,64.40020643,3
-14.39012168,31.48515597,0.335151747,45.87527765,-56.91540786,11.9851689,-0.720864545,68.90057676,-14.39012168,31.48515597,0.335151747,45.87527765,3
-19.16221915,47.79030393,0.672803225,66.95252308,-63.31873582,12.05975598,0.844641512,75.3784918,-19.16221915,47.79030393,0.672803225,66.95252308,3
-19.07936995,47.62578199,0.459270869,66.70515194,-68.41238571,12.16202846,0.043468908,80.57441417,-19.07936995,47.62578199,0.459270869,66.70515194,3
-7.457675083,38.85517837,0.420829723,46.31285345,-64.82855707,11.88916931,0.245418355,76.71772638,-7.457675083,38.85517837,0.420829723,46.31285345,3
-25.22597357,44.13071408,0.440338439,69.35668765,-71.30139673,13.26097171,0.261296661,84.56236844,-25.22597357,44.13071408,0.440338439,69.35668765,3
-22.08365649,38.51193511,0.490700524,60.5955916,-68.99518471,13.03203919,0.030367738,82.0272239,-22.08365649,38.51193511,0.490700524,60.5955916,3
-21.00280335,50.37159704,0.61257676,71.37440039,-64.94994527,12.67839842,-0.714999918,77.62834369,-21.00280335,50.37159704,0.61257676,71.37440039,3
-20.58766507,36.21027457,0.558454228,56.79793964,-70.36226373,12.24430931,0.565985419,82.60657304,-20.58766507,36.21027457,0.558454228,56.79793964,3
-17.94226426,44.55157795,0.845036795,62.49384221,-69.78302452,11.6824375,0.355386477,81.46546202,-17.94226426,44.55157795,0.845036795,62.49384221,3
