min_x,max_x,mean_x,peak_to_peak_x,min_y,max_y,mean_y,peak_to_peak_y,min_z,max_z,mean_z,peak_to_peak_z,label
-3.509571925,4.084160265,0.181474098,7.59373219,-67.37508965,10.6220274,0.029968662,77.99711705,-3.509571925,4.084160265,0.181474098,7.59373219,1
-6.370525666,3.806029851,-0.360981805,10.17655552,-7.743893951,5.055627784,-0.038758673,12.79952174,-6.370525666,3.806029851,-0.360981805,10.17655552,1
-6.082598827,8.420289917,-0.412428924,14.50288874,-11.127511,5.773675221,-0.30830047,16.90118622,-6.082598827,8.420289917,-0.412428924,14.50288874,1
-7.769383718,10.11939372,0.074382085,17.88877744,-13.65908641,7.204823937,-0.235616342,20.86391035,-7.769383718,10.11939372,0.074382085,17.88877744,1
-9.429607632,10.19408722,-0.433157593,19.62369485,-15.04688328,7.662303658,-0.085120752,22.70918694,-9.429607632,10.19408722,-0.433157593,19.62369485,1
-8.241756881,12.17683595,-0.579245432,20.41859283,-17.60988163,7.170180354,-0.754121896,24.78006198,-8.241756881,12.17683595,-0.579245432,20.41859283,1
-7.435793633,10.35431731,0.075420358,17.79011094,-16.40424423,6.913023902,-0.155652113,23.31726813,-7.435793633,10.35431731,0.075420358,17.79011094,1
-7.327580382,11.72342765,-0.338715957,19.05100803,-11.79584307,6.119349162,-0.324511611,17.91519223,-7.327580382,11.72342765,-0.338715957,19.05100803,1
-8.020530986,11.39190689,-0.522024757,19.41243788,-14.62108904,6.584212162,-0.531660658,21.2053012,-8.020530986,11.39190689,-0.522024757,19.41243788,1
-8.176147029,10.28126921,0.041789338,18.45741624,-17.60542137,7.024540245,-0.069584793,24.62996162,-8.176147029,10.28126921,0.041789338,18.45741624,1
-7.900287673,12.1320685,-0.403732322,20.03235617,-11.04994418,6.072664407,-0.444660992,17.12260859,-7.900287673,12.1320685,-0.403732322,20.03235617,1
-7.020565308,10.21908407,-0.418939716,17.23964938,-13.87941183,6.491779377,-0.47816406,20.37119121,-7.020565308,10.21908407,-0.418939716,17.23964938,1
-7.948169353,12.12185926,-0.233567372,20.07002861,-15.03691027,6.623176838,-0.040020389,21.66008711,-7.948169353,12.12185926,-0.233567372,20.07002861,1
-8.854005969,10.97073546,-0.160947334,19.82474143,-18.07425346,7.647252924,-0.521054742,25.72150638,-8.854005969,10.97073546,-0.160947334,19.82474143,1
-7.319584315,10.68979195,-0.483723057,18.00937627,-18.80711306,6.315623235,-0.334361341,25.1227363,-7.319584315,10.68979195,-0.483723057,18.00937627,1
-7.710203463,10.51430531,-0.539390799,18.22450877,-16.32100795,7.735176337,-0.467024366,24.05618429,-7.710203463,10.51430531,-0.539390799,18.22450877,1
-7.216324241,11.42508282,-0.05909663,18.64140706,-16.15422431,6.942181628,-0.348111188,23.09640594,-7.216324241,11.42508282,-0.05909663,18.64140706,1
-8.579610171,9.347808008,-0.408698153,17.92741818,-15.39770921,5.670302296,-0.163458294,21.06801151,-8.579610171,9.347808008,-0.408698153,17.92741818,1
-6.449091779,9.358144131,-0.508615833,15.80723591,-14.1298013,6.553466917,-0.650766454,20.68326822,-6.449091779,9.358144131,-0.508615833,15.80723591,1
-8.452872357,11.56822383,0.021002432,20.02109619,-18.28280025,6.434792998,-0.257628572,24.71759325,-8.452872357,11.56822383,0.021002432,20.02109619,1
-7.391230248,10.42974405,-0.389962746,17.8209743,-15.09223429,6.200911973,-0.142171171,21.29314626,-7.391230248,10.42974405,-0.389962746,17.8209743,1
-7.19035851,10.79831744,-0.629394146,17.98867595,-11.29854323,6.835743007,-0.626755354,18.13428624,-7.19035851,10.79831744,-0.629394146,17.98867595,1
-6.745092453,11.82763789,-0.018100535,18.57273034,-14.72685231,7.099921964,-0.241195188,21.82677427,-6.745092453,11.82763789,-0.018100535,18.57273034,1
-5.446238161,9.381080419,-0.3760357,14.82731858,-8.653384491,6.152399964,-0.220650297,14.80578446,-5.446238161,9.381080419,-0.3760357,14.82731858,1
-6.996674169,10.7734656,-0.448537391,17.77013977,-15.51474473,7.220800284,-0.394269914,22.73554501,-6.996674169,10.7734656,-0.448537391,17.77013977,1
